hash_1,hash_2,count,hash_1_count
gop,tcot,1503,4565
lagov,lalege,690,1705
doyourjob,zika,681,2561
nepa,pa11,551,605
txcot,txgop,541,600
obamacare,tcot,538,14058
keystonexl,timetobuild,530,2425
ar4,arpx,526,1261
doyourjob,scotus,460,2561
ar4,arnews,399,1261
mdayton,mnleg,369,1083
brokenpromises,obamacare,343,736
gapol,gasen,334,1140
tn,tn03,334,585
mn03,stribpol,329,715
tcot,txgop,328,8717
va,veterans,323,1572
aca,protectourcare,323,6213
4jobs,tcot,320,3720
paymoreforless,trumpcare,306,967
gagop,gapol,303,435
medicaid,medicare,297,976
obamacare,trainwreck,295,14058
tcot,txcot,292,8717
ncpol,ncsen,287,1771
dfw,txcot,286,461
aca,getcovered,286,6213
dfw,txgop,276,461
4jobs,gop,264,3720
ar1,arpx,262,597
gop,txgop,261,4565
holdthefloor,nobillnobreak,260,616
wvgov,wvpol,257,340
irs,tcot,257,3257
obamacare,repealandreplace,252,14058
tcot,teaparty,252,8717
cir,immigration,252,1179
cir,timeisnow,251,1179
daca,dapa,251,721
teaparty,txgop,243,487
4jobs,smallbiz,241,3720
obamacare,smallbiz,239,14058
higov,hinews,237,563
teaparty,txcot,236,487
laflood,lagov,233,487
aca,makeamericasickagain,229,6213
energy,jobs,228,1642
bettermn,mnleg,227,819
actonclimate,climatechange,224,2513
gunviolence,zika,223,1516
aca,acaworks,222,6213
latism,p2,221,599
tbt,throwbackthursday,219,3228
scnews,sctweets,219,297
findyourpark,nps100,218,778
immigration,p2,218,3019
tcot,utpol,217,8717
aca,trumpcare,214,6213
sctweets,tcot,214,1658
familyact,paidleave,213,340
pjnet,tcot,210,759
arnews,arpx,206,532
aca,obamacare,205,6213
disarmhate,gunviolence,200,2021
bettermn,mdayton,200,819
gop,txcot,200,4565
smallbiz,tcot,200,4619
dfw,texas,198,461
gagop,gasen,198,435
ar3,coffeewiththecongressman,198,1000
cha,tn03,195,291
epa,wotus,195,1642
doyourjob,gunviolence,195,2561
p2,twill,194,1688
fullrepeal,obamacare,194,337
4jobs,jobs,193,3720
ma10,mapoli,193,221
bringbackourgirls,joinrepwilson,192,1088
texas,txcot,192,1167
brownback,ksleg,191,877
economy,jobs,188,672
texas,txgop,187,1167
hcr,tcot,185,791
actonclimate,cleanpowerplan,184,2513
flint,zika,182,844
gop,p2,182,4565
tcot,tn03,179,8717
bearsears,utpol,178,265
immigration,timeisnow,177,3019
fairnessforall,obamacare,176,439
recklessrecess,zika,176,250
scpol,sctweets,173,221
obamacare,scotus,173,14058
equalpay,equalpayday,172,2091
doyourjob,flint,171,2561
restorationtuesday,restorethevote,170,189
4jobs,keystonexl,168,3720
nobillnobreak,noflynobuy,167,1883
obamafailures,tcot,167,192
shopsmall,smallbizsat,167,468
