year_month,count
1/1/2009,129
2/1/2009,319
3/1/2009,489
4/1/2009,441
5/1/2009,594
6/1/2009,760
7/1/2009,892
8/1/2009,478
9/1/2009,804
10/1/2009,1132
11/1/2009,1188
12/1/2009,1008
1/1/2010,892
2/1/2010,849
3/1/2010,1571
4/1/2010,1375
5/1/2010,1232
6/1/2010,1527
7/1/2010,1282
8/1/2010,1005
9/1/2010,1267
10/1/2010,1229
11/1/2010,713
12/1/2010,821
1/1/2011,1719
2/1/2011,1892
3/1/2011,2952
4/1/2011,2657
5/1/2011,3400
6/1/2011,2837
7/1/2011,3301
8/1/2011,2322
9/1/2011,3242
10/1/2011,3865
11/1/2011,3716
12/1/2011,3260
1/1/2012,4001
2/1/2012,4176
3/1/2012,4639
4/1/2012,4720
5/1/2012,4905
6/1/2012,4900
7/1/2012,4681
8/1/2012,3503
9/1/2012,4238
10/1/2012,4086
11/1/2012,3768
12/1/2012,3174
1/1/2013,6121
2/1/2013,8288
3/1/2013,9059
4/1/2013,10134
5/1/2013,13017
6/1/2013,12575
7/1/2013,12553
8/1/2013,8803
9/1/2013,12169
10/1/2013,12559
11/1/2013,10691
12/1/2013,8470
1/1/2014,13379
2/1/2014,12451
3/1/2014,15137
4/1/2014,15364
5/1/2014,16806
6/1/2014,15827
7/1/2014,18528
8/1/2014,12393
9/1/2014,14646
10/1/2014,13208
11/1/2014,10689
12/1/2014,9880
1/1/2015,18286
2/1/2015,19280
3/1/2015,21831
4/1/2015,21385
5/1/2015,20726
6/1/2015,23182
7/1/2015,26384
8/1/2015,17864
9/1/2015,22804
10/1/2015,24775
11/1/2015,21760
12/1/2015,19979
1/1/2016,24894
2/1/2016,27742
3/1/2016,31140
4/1/2016,30761
5/1/2016,31275
6/1/2016,38472
7/1/2016,29459
8/1/2016,27316
9/1/2016,35123
10/1/2016,29363
11/1/2016,24659
12/1/2016,24444
