hashtag,count
obamacare,11774
tcot,7865
aca,5284
sotu,5199
mepolitics,4598
scotus,4364
veterans,4341
utpol,4195
trumpcare,4130
jobs,3873
gop,3728
smallbiz,3416
4jobs,2990
ia03,2746
tbt,2724
irs,2646
immigration,2394
irandeal,2173
actonclimate,2073
iran,2069
keystonexl,1980
wv,1913
lgbt,1853
doyourjob,1761
raisethewage,1761
climatechange,1684
ff,1664
stem,1662
lagov,1657
zika,1649
equalpay,1639
idpol,1609
memorialday,1608
benghazi,1606
syria,1565
veteransday,1544
sctweets,1542
p2,1530
ncpol,1515
va10,1495
betterway,1465
disarmhate,1461
southjersey,1434
healthcare,1368
isis,1347
ahca,1340
va,1338
budget,1305
netde,1292
epa,1291
mtpol,1287
neverforget,1279
ndaa,1264
ar4,1238
nobillnobreak,1231
icymi,1222
renewui,1200
energy,1183
senate,1180
potus,1179
ri,1139
congress,1130
arpx,1128
protectourcare,1127
ksleg,1112
equalpayday,1099
medicare,1089
gunviolence,1088
getcovered,1075
farmbill,1074
obama,1064
israel,1049
mdayton,1043
gopshutdown,1023
prolife,1021
cir,1009
mentalhealth,1008
texas,992
sayfie,986
ar3,986
trumprussia,981
wotus,978
nv,969
cuba,963
socialsecurity,961
muslimban,953
vets,945
gapol,944
tx23,928
nm,913
mapoli,908
az,903
endalz,877
brownback,876
bringbackourgirls,870
ia01,870
netneutrality,856
ohsen,842
earthday,836
weareky,831
